# 000010 D6 6C
LX: 00000D60, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D60, LY: 000007BE, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D61, LY: 000007BE, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D60, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D60, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
# BT_HIDP_SW_SUBCMD_READ_SPI 0x6098
# 000000 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
# 000010 FF FF
LX: 00000D60, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D61, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
LX: 00000D61, LY: 000007BD, RX: 00000800, RY: 000005C6, LT: 00000000, RT: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000, BTNS: 00000000 DL DR DD DU BL BR BD BU MM MS MT MQ LM LS LT LJ RM RS RT RJ
