
+0834369: 00200121
+0000996: 1C20000540000000800002010000000000000000654B0002616F6279202064722020202020202020202020202020202020202020646F725064656375207942205520726F7265646E63694C2065736E656F7246204553206D452041475245544E534952504C2C5345202E4454202020200190015E6E
+0015215: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016554: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0016485: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016543: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016479: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0310104: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0006561: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0016474: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016483: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016563: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016475: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016542: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016484: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016556: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016473: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0016544: 010020094000000068
+0000171: 032000084000000000000000000000006B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000007B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016480: 010020094000000068
+0000170: 032000084000000000000000000000006F
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016545: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016544: 010020094000000068
+0000170: 032000084000000000000000000000006B
+0016481: 010020094000000068
+0000170: 032000084000000000000000000000006B
