▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                                                                                                                                                                                           ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                                                                                                                                                                                           ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                                                                                                                                                                                           ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                                                                                                                                                                                           ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                                                                                                                                                                                           ▒▒▒▒▒▒▒▒▒▒▒▒I (106) cpu_start: Pro cpu up.
I (106) cpu_start: Starting app cpu, entry point is 0x40080fdc
I (0) cpu_start: App cpu up.
I (114) cpu_start: Pro cpu start user code
I (115) cpu_start: cpu freq: 240000000
I (115) cpu_start: Application information:
I (115) cpu_start: Project name:     esp32_rmt_nsi_sniffer
I (116) cpu_start: App version:      b74b580-dirty
I (116) cpu_start: Compile time:     Dec  2 2021 19:54:42
I (117) cpu_start: ELF file SHA256:  af85dbbe67dbbc13...
I (118) cpu_start: ESP-IDF:          v4.4-dev-2128-gf45b60b28
I (119) heap_init: Initializing. RAM available for dynamic allocation:
I (120) heap_init: At 3FFAE6E0 len 0000F480 (61 KiB): DRAM
I (120) heap_init: At 3FFC21A0 len 0001DE60 (119 KiB): DRAM
I (121) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
I (122) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
I (123) heap_init: At 4008B364 len 00014C9C (83 KiB): IRAM
I (124) spi_flash: detected chip: generic
I (125) spi_flash: flash io: dio
I (126) esp_core_dump_uart: Init core dump to UART
I (126) cpu_start: Starting scheduler on PRO CPU.
I (0) cpu_start: Starting scheduler on APP CPU.
+9099183:  0
+4060156: 0100000000 0
+0033340: 0100000000 8
+0033367: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033367: 0100000000 0
+0033367: 0100000000 0
+0033364: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033367: 0100000000 0
+0033368: 0100000000 0
+0033364: 0100000000 8
+0033366: 0100000000 8
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033366: 0100000000 8
+0033366: 0100000000 8
+0033366: 0100000000 8
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033366: 0100000000 0
+0033366: 0100000000 8
+0033365: 0100000000 8
+0033367: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033366: 0100000000 8
+0033365: 0100000000 8
+0033366: 0100000000 0
+0033367: 0100000000 0
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 8
+0033366: 0100000000 8
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033367: 0100000000 8
+0033365: 0100000000 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 0100000000 0
+0033365: 010000FF00 0
+0033366: 0100000000 8
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 0100000000 0
+0033365: 0100000000 0
+0033366: 010000FF00 8
+0033365: 0100000000 8
+0033366: 0100000000 0
+0033367: 0100000000 0
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033367: 010000FF00 0
+0033364: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033368: 0100000000 0
+0033364: 0100000000 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033365: 010000FF00 8
+0033366: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 8
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033364: 010000FF00 8
+0033367: 010000FF00 8
+0033365: 010000FF00 0
+0033366: 0100000000 0
+0033366: 0100000000 0
+0033365: 0100000000 0
+0033367: 0100000000 0
+0033365: 0100000000 8
+0033366: 0104000000 8
+0066754: 0104000000 0
+0033346: 0104000000 8
+0033365: 0100000000 0
+0033365: 0100000000 0
+0033366: 0100000000 0
+0033366: 0100000000 8
+0033366: 0100000000 0
+0033367: 0100000000 8
+0033365: 0100000000 8
+0033365: 0100000000 8
+0033366: 0104000000 0
+0066747: 0104000000 0
+0033352: 0100000000 0
+0033365: 0100000000 0
+0033365: 0100000000 8
+0033365: 0100000000 8
+0033366: 0104000000 0
+0066752: 010400FF00 0
+0033347: 010000FF00 0
+0033364: 010000FF00 8
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 8
+0033367: 010100FF00 0
+0100116: 010000FF00 0
+0033347: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010100FF00 8
+0100124: 010000FF00 0
+0033341: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 8
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 8
+0033365: 010100FF00 8
+0100119: 010100FF00 0
+0033347: 010000FF00 0
+0033365: 010000FF00 0
+0033365: 010000FF00 8
+0033365: 010000FF00 8
+0033367: 010000FF00 0
+0033367: 010000FF00 0
+0033364: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033367: 010000FF00 8
+0033364: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 8
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 8
+0033365: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010400FF00 0
+0066753: 010000FF00 0
+0033346: 010000FF00 0
+0033365: 010000FF00 8
+0033367: 010400FF00 0
+0066747: 010000FF00 0
+0033351: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010400FF00 0
+0066753: 010400FF00 8
+0033347: 010000FF00 8
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033367: 010000FF00 8
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033367: 010000FF00 8
+0033367: 010000FF00 0
+0033364: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033367: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033366: 010000FF00 0
+0033367: 010000FF00 8
+0033364: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 8
+0033367: 010000FF00 8
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 018000FF00 8
+0066753: 018000FF00 0
+0033346: 018000FF00 0
+0033365: 018000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 8
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 0
+0033366: 010000FF00 8
+0033366: 010000FF00 8
+0033365: 010000FF00 8
+0033368: 010000FF00 0
+0033364: 010000FF00 8
+0033367: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 8
+0033366: 010000FF00 8
+0033367: 010000FF00 0
+0033365: 010000FF00 8
+0033368: 010000FF00 0
+0033364: 010000FF00 0
+0033366: 010000FF00 8
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033365: 010000FF00 0
+0033367: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 010000FF00 0
+0033366: 010000FF00 0
+0033365: 018000FF00 8
+3022868: 00050001 8
+0002407: 0100000000 0
+0001122: 0100000000 8
+0003321: 0100000000 0
+0030602: 0100000000 0
+0001104: 0100000000 0
+0032384: 0100000000 0
+0001102: 0100000000 8
+0032349: 0100000000 0
+0001109: 0100000000 0
+0001087: 0100000000 0
+0031247: 0100000000 8
+0001110: 0100000000 0
+0001704: 00050001 0
+0001648: 0100000000 0
+0028967: 0100000000 0
+0001109: 0100000000 0
+0001083: 0100000000 0
+0031214: 010000FF00 0
+0001107: 010000FF00 8
+0001083: 010000FF00 8
+0031258: 010000FF00 0
+0001109: 010000FF00 0
+0000659: 00050001 8
+0001761: 038001000000000000000000000000000000000000000000000000000000000000000000 280
+0001821: 020035000000000000000000000000000000000000000000000000000000000000000000 24
