+2684530:  0
+1796765: 00050001 0
+0002365: 0100000000 8
+0001084: 0100000000 8
+1600567: 0100000000 8
+0001083: 0100000000 8
+0265797: 0100000000 0
+0001102: 0100000000 0
+0016649: 0100000000 8
+0001715: 00050001 0
+0001644: 0100000000 0
+0000651: 00050001 0
+0001720: 038001000000000000000000000000000000000000000000000000000000000000000000 280
+0001668: 02000081030203060706070A0B0A0B0E0F0E0F12131213161716171A1B1A1B1E1F1E1F52 24
+0001734: 030000000102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F33 280
+0001668: 020000000102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F33 24
+0001731: 03000081030203060706070A0B0A0B0E0F0E0F12131213161716171A1B1A1B1E1F1E1F52 280
+0001522: 038001000000000000000000000000000000000000000000000000000000000000000000 280
+0001668: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001529: 0200E1010000000100000000000000FFFF0100000000000000000000000000888FFD3F98 24
+0001517: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001545: 0201169071FD3FFFFFFFFF90900003000300030003000300030003000300030003000326 24
+0001508: 0201230003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 0201490003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 02017C0003000300030003000300030003000300030003000300030003000300030003D1 24
+0001508: 02019D0003000300030003000300030003000300030003000300030003000300030003D1 24
+0001505: 0201A80003000300030003000300030003000300030003000300030003000300030003D1 24
+0001505: 0201C20003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 0201F70003000300030003000300030003000300030003000300030003000300030003D1 24
+0001557: 02030F000000000000000000000000000000000000000000000000000000000000000000 24
+0001516: 02033A000000000000000000000000000000000000000000000000000000000000000000 24
+0001508: 020350000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 020365000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 020384000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 0203B1000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 0203DB000000000000000000000000000000000000000000000000000000000000000000 24
+0001504: 0203EE000000000000000000000000000000000000000000000000000000000000000000 24
+0001509: 020407000000000000000000000000000000000000000000000000000000000000000000 24
+0001504: 020432000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 020458000000000000000000000000000000000000000000000000000000000000000000 24
+0001504: 02046D000000000000000000000000000000000000000000000000000000000000000000 24
+0001511: 02048C000000000000000000000000000000000000000000000000000000000000000000 24
+0001504: 0204B9000000000000000000000000000000000000000000000000000000000000000000 24
+0001508: 0204D3000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 0204E6000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 02030F000000000000000000000000000000000000000000000000000000000000000000 24
+0001507: 02033A000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 020350000000000000000000000000000000000000000000000000000000000000000000 24
+0001510: 020365000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 020384000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 0203B1000000000000000000000000000000000000000000000000000000000000000000 24
+0001505: 0203DB000000000000000000000000000000000000000000000000000000000000000000 24
+0001601: 0203EE000000000000000000000000000000000000000000000000000000000000000000 24
+0001508: 020407000000000000000000000000000000000000000000000000000000000000000000 24
+0001509: 020432000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 020458000000000000000000000000000000000000000000000000000000000000000000 24
+0001507: 02046D000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 02048C000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 0204B9000000000000000000000000000000000000000000000000000000000000000000 24
+0001506: 0204D3000000000000000000000000000000000000000000000000000000000000000000 24
+0001509: 0204E6000000000000000000000000000000000000000000000000000000000000000000 24
+0001806: 0301169071FD3FFFFFFFFF90900003000300030003000300030003000300030003000326 280
+0001522: 0302199071FD3FFFFFFFFF90900003000300030003000300030003000300030003000326 280
+0001521: 0301230003000300030003000300030003000300030003000300030003000300030003D1 280
+0001522: 03022C0003000300030003000300030003000300030003000300030003000300030003D1 280
+0001521: 0301490003000300030003000300030003000300030003000300030003000300030003D1 280
